gene_symbol,cluster,up_features,down_features,phenotypic_strength
PSMA6,167,"interphase_nucleus_gh2ax_mean,interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_dapi_int,mitotic_cell_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",207/5299
PSMA7,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean,interphase_nucleus_dapi_int,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity,interphase_cell_tubulin_mean",231/5299
PSMB1,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_dapi_int,interphase_nucleus_gh2ax_mean,mitotic_nucleus_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",295/5299
PSMB2,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_int,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean,mitotic_nucleus_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",233/5299
PSMB3,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_dapi_int,interphase_nucleus_gh2ax_mean","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",268/5299
PSMB4,167,"interphase_nucleus_gh2ax_mean,interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_int,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_eccentricity,interphase_nucleus_dapi_mean,interphase_cell_eccentricity",229/5299
PSMB6,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_solidity,interphase_nucleus_dapi_int,interphase_cell_phalloidin_mean","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_cell_tubulin_mean",1193/5299
PSMB7,167,"interphase_nucleus_gh2ax_mean,interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_form_factor,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_dapi_int,mitotic_cell_phalloidin_mean","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity,interphase_cell_eccentricity",206/5299
UBE2R2,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean","interphase_nucleus_dapi_mean,interphase_nucleus_correlation_dapi_gh2ax",2936/5299
FITM1,197,interphase_nucleus_gh2ax_mean,,4627/5299
HNRNPD,197,,"interphase_cell_phalloidin_mean,interphase_nucleus_gh2ax_mean,interphase_cell_tubulin_mean,interphase_nucleus_solidity,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_form_factor",4959/5299
MCM3,197,,interphase_nucleus_correlation_dapi_gh2ax,4287/5299
METTL14,197,"interphase_cell_correlation_tubulin_phalloidin,interphase_cell_tubulin_mass_displacement","interphase_cell_phalloidin_mean,interphase_nucleus_form_factor,interphase_nucleus_solidity",4917/5299
METTL3,197,,"interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_solidity",4801/5299
NCAPD3,197,,,4354/5299
NCOR2,197,,,5062/5299
PTCHD4,197,,,4482/5299
SPAST,197,,interphase_nucleus_correlation_dapi_gh2ax,4382/5299
UFL1,197,,interphase_nucleus_solidity,4730/5299
VRK1,197,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_area",interphase_nucleus_solidity,4211/5299
MCL1,99,,interphase_nucleus_correlation_dapi_gh2ax,4936/5299
MDC1,99,,,5144/5299
PUM3,99,,"interphase_cell_correlation_dapi_tubulin,interphase_cell_phalloidin_mean",4996/5299
UFSP2,99,,,5109/5299
nontargeting_0_2,99,,,5218/5299
nontargeting_17_3,99,,,5226/5299
nontargeting_19_1,99,,,5198/5299
nontargeting_20_2,99,,,5243/5299
nontargeting_22_1,99,,,5257/5299
nontargeting_24_0,99,,,5264/5299
nontargeting_2_2,99,,,5101/5299
nontargeting_31_1,99,,,5170/5299
nontargeting_43_1,99,,,5230/5299
nontargeting_44_1,99,,,5202/5299
nontargeting_44_2,99,,,5049/5299
nontargeting_47_3,99,,,5236/5299
nontargeting_53_1,99,,,5247/5299
nontargeting_57_2,99,,,5241/5299
nontargeting_5_0,99,,,5160/5299
nontargeting_5_2,99,,,5203/5299
nontargeting_61_0,99,,,5038/5299
nontargeting_6_1,99,,interphase_cell_phalloidin_mean,5237/5299
nontargeting_8_2,99,,,5271/5299
nontargeting_9_0,99,,,5197/5299
